name,price,status,shipping,free_returns,items_sold
Mountain Bike 26'' Front Suspension 21 Speed  MTB Mens Bicycle  Dual Disc Brakes,21799,Brand New,0,False,
Lightweight Aluminum Frame Mountain Bike 21 Speed Mens Bicycle 29-inch Bikes,28999,Brand New,0,True,
"29"" Aluminium Mountain Bike Disc Brakes Mens Bikes 21 Speed Bicycle MTB 29er XL",39900,Brand New,0,True,
"sixthreezero 26"" Single Speed Beach Cruiser Bicycle with Rear Rack, Lilac, Pink",22400,Brand New,,False,
Road Bike Shimano 21 Speed Bicycle 700C Mens Bikes 26In Daul Disc Brakes Bikes,19661,Brand New,0,False,
New Listing,20998,Brand New,1000,False,7
New Listing,30995,Brand New,0,False,
"Hyper Bicycles Men's 26"" Shocker Mountain Bike, Black",14999,Brand New,0,False,
Quintana Roo Rare Triathlon Bike 46cm Vintage Superform,39900,Pre-Owned,3039,False,
New Listing,59900,Pre-Owned,20000,False,
New Listing,59900,Pre-Owned,20000,False,
New Listing,19999,Pre-Owned,6000,False,
New Listing,23966,Brand New,0,False,
New Listing,60000,Pre-Owned,0,False,
High Carbon Steel Road Bike 700C Wheel 21 Speed Disc Brake Adult Bicycle,25999,Brand New,399,False,60
Terry Symmetry 50cm Shimano Road Bike,49999,Pre-Owned,0,False,
New Listing,20202,Brand New,0,False,
New Listing,44999,Brand New,0,False,
"Kent 20"" Ambush Boys' BMX Bike, Blue",10767,Brand New,0,True,
RoyalBaby Kids Bike Boys Girls Freestyle Bike 16 Inch with Training Wheels Whit*,4199,Brand New,0,True,6
Schwinn Windwood ,15000,Pre-Owned,,False,
New Listing,150000,Pre-Owned,7500,False,
New Listing,139500,Pre-Owned,6500,True,
New Listing,7169,Brand New,0,False,
"26"" Aluminum Alloy Bicycle Front Suspension Mountain Bike 21 Speed MTB Bikes",28839,Brand New,0,False,
giant bicycle metallic black Talon 4 29 S brand new in box,35000,Brand New,28213,False,
NEW SCHWINN 26 Meridian Adult Tricycle MINT 3-Wheel Bike Trike Comfort Cruiser,44686,Brand New,0,True,
"Mongoose Hitch All-Terrain Fat Tire Bike, 26-inch wheels, Men's Style, Red",32999,Brand New,0,False,
New Listing,29900,Pre-Owned,20000,False,
New Listing,70000,Pre-Owned,15000,False,
New Listing,15000,Brand New,509,False,
New Listing,25799,Brand New,0,False,
New Listing,30997,Brand New,0,True,
SE Bikes Fast Ripper Red 29”,151200,Pre-Owned,20000,False,
New Listing,89900,Refurbished,10000,False,
"DSB Hybrid Bike, 700c wheels, 21 speeds, womens frame, white",34400,Brand New,0,False,
"Swagtron EB-6 20"" Electric Bike 7 speed 350W Motor Fat Tire Mountain City E-Bike",,Refurbished,0,True,63
New Listing,159999,Pre-Owned,0,False,
