name,price,status,shipping,free_returns,items_sold
100/200/300 Skateboard Stickers Bomb Vinyl Laptop Luggage Decals Dope Sticker,599,Brand New,0,True,4320
"Powell Peralta Skateboard Cruiser Complete Skull and Sword Blue 8.0"" x 30""",8495,Brand New,0,True,
GONEX NEW Skateboard Complete 31 x 8 Concave Double Kick Maple Deck Kids Skull..,6998,Brand New,0,True,
"31""x 8"" Trick Complete Skateboard Double Kick Concave Skateboards for Beginners",2499,Brand New,599,False,27
Element Skateboard Complete Dispersion 7.75' Red Trucks 52mm Wheels,7995,Brand New,0,True,131
"31""x 8"" Complete Skateboard 7 Layer Canadian Maple Double Kick Concave Lion",3999,Brand New,0,False,
"Moose Skateboards Old School 10"" x 30"" White Blank Skateboard Deck with Grip",3495,Brand New,0,True,80
"Skateboard 31""X8"" Complete Standard Skateboards Double Kick Skate Board Teens US",1998,Brand New,0,False,
Skateboard W/ Punked Speed Cruiser Wheels ,2999,Pre-Owned,2259,False,
arbor skateboard Wheels Easyrider ,3199,Brand New,1650,False,
New Listing,2599,Brand New,999,False,
"Blank Complete Skateboard Stained BLACK 7.75"" Skateboards, Ready to ride New",3799,Brand New,0,True,36
"Eliiti Maple Complete Skateboard for Beginners Boys Girls, 31x7.75 inch",3985,Brand New,0,True,
"Element Skateboard Assembly Section 7.75"" Complete",7995,Brand New,0,True,57
"CAROMA Kids Trick Complete Skateboard 31x8"" Double Kick Concave Skateboards Gift",2599,Brand New,0,False,
"Kids Trick Complete Skateboard 31""x 8"" Double Kick Concave Skateboards Gift Fun",3499,Brand New,0,False,10
ENJOI Skateboards WHITEY PANDA Complete SKATEBOARD New! Black Trucks 52mm Wheels,7995,Brand New,0,True,194
"Kids Trick Complete Skateboard 31""x 8"" Double Kick Concave Skateboards Gift Fun",2599,Brand New,0,False,
Hot 31 inch Skateboards for Beginner Complete Maple board 8 Layer Fire Wolf Deck,2000,Brand New,0,False,
2021 New 31 inches Complete Skateboards Layer Maple Wood Skateboard for Teens,1599,Brand New,0,False,12
Santa Cruz Screaming Hand Full Skateboard Complete 8.0,10495,Brand New,0,False,
"USA Eagle Complete Skateboard 31""x 8"" Double Kick Concave Skateboards 7 layer",3999,Brand New,0,False,
Skateboard Beginners Street Cartoon Double rocker Outdoor Random pattern color,2590,Brand New,0,True,93
New Santa Cruz Star Wars Stormtrooper Cruzer Complete Skateboard - 36in x 9.3in,9995,Brand New,0,False,50
"New black snake Complete Skateboard 31""x 8"" Double Kick Concave Skateboards Gift",850,Brand New,0,False,
"Portable Cruiser Pennyboards 26"" x 7"" Standard Skateboards for Beginners Kids US",3799,Brand New,0,False,
New Listing,11500,Brand New,0,False,
New Listing,9500,Pre-Owned,6015,False,
skateboard complete,4500,Pre-Owned,,False,
"Graffiti Culture Complete Skateboard 31""x 8"" Double Kick Concave Skateboards bD",4999,Brand New,0,False,10
Skateboards for Beginners Kids Girls Youths 22 Inch Complete Cruiser Skateboard;,2999,Brand New,0,False,
"31x 8"" Kids Skateboard Double Kick Concave 9 Layer Maple Skateboards + PU Wheels",2599,Brand New,0,False,
2 Blank SKATEBOARD DECKS - 8.5 in - NATURAL w/Jessup Grip,3999,Brand New,0,True,138
"Kids Trick Complete Skateboard 31""x 8"" Double Kick Concave Skateboards Gift Fun",2778,Brand New,0,False,
New Listing,1869,Brand New,0,True,
"Powell Peralta Skateboard Deck Caballero Faction Flight 8.25"" x 31.95""",8395,Brand New,0,True,67
"22"" Complete Mini Cruiser Skateboard with LED Light Up Wheels for Kids Teens",1898,Brand New,0,False,
"22""Complete Skate Boards Skateboard for Beginners Teens Girls Boys w/ LED NEW",3599,Brand New,0,False,
ARCADE Skateboard Trainers - Learn Skateboarding Skate Tricks Fast - Trainers,3922,Brand New,0,True,3
"31""x 8"" Complete Skateboards Double Kick Concave Skateboards For Teens/Beginners",2199,Brand New,899,False,80
"NEW 31""x8"" Skateboards Complete Double Kick Deck Concave Gift for Kids Teens *",4659,Brand New,0,False,2
☆Fire Skull Skateboard Top Stained BLACK 31.5in Skateboards Ready to Ride Maple,3999,Brand New,0,False,
skateboard complete,2050,Pre-Owned,4995,True,
Razor Ripstik Ripster Red & Black,1150,Pre-Owned,1835,False,
2 Blank SKATEBOARD DECKS  8.5 in DIP BLACK w/Jessup Grip,3999,Brand New,0,True,46
"Arbor Photo Pilsner Cruiser Complete Skateboard L: 28.75"" W: 8.25"" WB: 15.25""",7500,Pre-Owned,0,False,
Flexdex Skateboard GullWing Charger Trucks & Orangatang Wheels,2999,Pre-Owned,2259,False,
"31'x 8"" Complete Skateboard 4 Wheel Double Kick Deck Concave 9 Layer Maple Wood",3799,Brand New,0,False,
"31x8"" Trick Complete Skateboard Deck Double Kick Concave Skateboards Gift f Kids",3599,Brand New,0,True,
World Industries Skateboard with Venture Trucks ,4496,Pre-Owned,1085,False,12
"Powell Peralta Skateboard Deck Blair Necromancer 8.0"" x 31.45""",5495,Brand New,0,True,9
"USA 31""x8"" Complete PRO Skateboard 9Layer Canadian Maple Wood Double Kick Tricks",3999,Brand New,0,False,
Sk8mafia skateboard With Independent Trucks. Haslam Momentum Wheels.,3000,Pre-Owned,2558,False,
New Listing,10000,Brand New,0,False,
"7.75"" Skateboards Blank Complete Skateboard Stained BLACK  Ready to ride New",3699,Brand New,0,True,12
New Listing,99,Pre-Owned,3300,False,
🛹31''x8'' Skateboard Bearing 7-Layer Maple Double Kick Deck Concave Youth New🛹,3999,Brand New,0,False,11
31''x 8'' Professional Skateboard Double  Deck Concave Skateboards for Beginners,2499,Brand New,799,False,95
"🔥Graffiti Culture Complete Skateboard 31""x 8"" Double Kick Concave Skateboards-E",4999,Brand New,0,False,
22 inch Skateboard Mini Cruiser Penny Style Board Plastic Deck for Kids Teens,1998,Brand New,0,False,11
"31""x 8"" Complete Skateboard Double Concave Kick Trick Skateboards for Beginners",3599,Brand New,0,False,
"31x8"" Kids Teens Complete Skateboard Double Kick Concave Skateboards Gift Fun~",2599,Brand New,0,False,
"Benson Devil Women Pro deck - Death Skateboards 8.5 "" with grip & free shipping",4299,Brand New,0,True,68
New Listing,11495,Brand New,0,True,
Skateboards-Complete Skateboards for Beginners Standard Skateboards 31’’x8’’,2989,Brand New,0,False,
"Santa Cruz Skateboard Complete Screaming Hand 8.0"" W/Independent & Soft Wheels",10795,Brand New,0,True,26
"Powell Peralta Skateboard Deck Giorgio Zattoni 8.0"" x 31.45"" with Grip",3495,Brand New,0,True,25
"HOT!! Kids Trick Complete Skateboard 31x8"" Double Kick Concave Skateboards Gift~",1998,Brand New,0,False,
"Death skateboards Lurk 2 Skateboard Deck -  8.5 "" with grip ",4299,Brand New,0,True,34
"Kids Trick Complete Skateboard 31""x 8"" Double Kick Concave Skateboards Gift Fun",3999,Brand New,0,False,6
" Benson Red Devil Women Pro deck - Death Skateboards 8.5 "" with grip ",4299,Brand New,0,True,31
Creature - Mummy - Skateboard Deck in Shrink Wrap,666,Brand New,2000,False,
"Santa Cruz Skateboard Complete Screaming Hand 8.25"" W/Independent & Soft Wheels",10795,Brand New,0,True,83
Skateboards for Beginners Kids Girls Youths 22 Inch Complete Cruiser Skateboard,3799,Brand New,0,False,20
S4O Complete Full Size Standard Maple Deck Skateboard - Black,3795,Brand New,0,False,
"Maple Complete Skateboard 31x8"" Double Kick Skateboards Beginners Gift Max 100kg",3597,Brand New,0,True,
31''x 8'' Professional Skateboard Double Deck Concave Skateboards for Beginners,3299,Brand New,0,False,5
"31"" x 8"" Complete Skateboard Trick Skateboard Double Kick Concave Gift for Kids",850,Brand New,0,False,
electric longboard skateboard,16000,Pre-Owned,5640,False,
"Graffiti Culture Complete Skateboard 31""x 8"" Double Kick Concave Skateboards S",4999,Brand New,0,False,
"Benson Devil Women Pro deck - Death Skateboards 8.25 "" with grip ",4299,Brand New,0,True,57
ELEMENT Skateboards SECTION DECK skateboard 7.75 BRAND NEW DECK IN SHRINK,5095,Brand New,0,True,58
TURBO 30 Inch Longboard Cruiser Skateboard Deck 9.0 Width Black,3997,Brand New,0,False,12
"BLEMISHED Krown Skateboard Complete Rookie Dragon - 7.75""",3500,Pre-Owned,0,True,
"Skateboard Complete Standard Skateboards Double Kick Skate Board Teens 31""x8""",2799,Brand New,0,False,
"Dan Cates Pumpkin Pro deck - Death Skateboards 8.5 "" with grip ",4299,Brand New,0,True,28
"Wood 31""x8"" Skateboards Complete Double Kick Deck Concave Gift for Kids Teens",4899,Brand New,0,False,7
Skateboard Complete With Bullet Trucks,4676,Pre-Owned,1085,False,
Razor RipStik Caster Board - Silver - FFP,3476,New (Other),0,True,
"Dan Cates BLUE Mummy Pro deck - Death Skateboards 8.5"" with grip & free shipping",4299,Brand New,0,True,16
"Kids Gift! 31x8"" Complete Skateboard Double Kick Concave Skateboards Multi-Color",2599,Brand New,0,False,
Arcade Skateboard Trainers - Learn Skateboarding Skate Tricks Fast - Trainers...,3833,Brand New,0,False,
NPET Pro Skateboard USA Flag Complete 31 Inch 7 Layer Canadian Maple Double Kick,3428,Brand New,0,True,
Complete Skateboard with Venture Trucks,5222,Pre-Owned,1085,False,
"Skateboard 31""x8"" Complete Standard Skateboards Double Kick Skate Board Teens",3110,Brand New,0,False,
"Primitive 8.25"" Skateboard Deck",5500,Brand New,1320,False,
"31""x8"" Complete PRO Skateboard - Double Kick 9 Layer Canadian Maple Wood Adults",1998,Brand New,0,False,
7Lays Maple Deck Pro Complete Skateboards Kick Concave Standard Tricks Skateboad,1998,Brand New,0,False,
"BEST! 22"" Portable Mini Cruiser Skateboard for Beginners with 4 Flashing Wheels",2999,Brand New,0,False,
"Arcade 31"" Complete Kids' Skateboard - Tie Die - NEW™",2844,Brand New,0,True,
"31"" x 8"" Complete Skateboard 7 Layer Canadian Maple Wood Adult Tricks Skateboard",4199,Brand New,0,False,12
"Patrick Melcher Pro MERMAID deck - Death Skateboards 8.25 "" grip & free shipping",4499,Brand New,0,True,13
"31""x 8"" Complete Skateboards Double Kick Concave Skateboards For Teens/beginners",4999,Brand New,0,False,
"Kids Adults Trick Complete Skateboard 31x8"" Double Kick Concave Skateboards Gift",3799,Brand New,0,True,
New Listing,5200,Brand New,0,False,
"NEW  22""Complete Skate Boards Skateboard for Beginners Teens Girls Boys w/ LED",3599,Brand New,0,False,
"Kids Trick Complete Skateboard 31""x 8"" Double Kick Concave Skateboards Gift Fun",2599,Brand New,0,False,
New Listing,4000,Pre-Owned,0,False,
Blank SKATEBOARD DECK   -  8.5 in - NATURAL w/Jessup,2499,Brand New,0,True,112
New Listing,999,Pre-Owned,1835,True,
New Listing,4000,New (Other),1000,False,
"Skateboard 31""X8"" Complete Standard Skateboards Double Kick Skate Board Teens .#",3799,Brand New,0,False,
"WhiteFang Skateboards for Beginners, Complete Skateboard 31 x 7.88, 7 Layer Kick",4676,Brand New,0,True,
"Caroma Standard Skateboards, 22"" Complete Mini Cruiser Skateboard for Beginners",3599,Brand New,0,False,
"Santa Cruz Skateboard Complete Obscure Hand 8.25"" x 31.5"" Assembled",9896,Brand New,0,True,38
"Blank Complete Skateboard Decks Stained BLACK 7.75"" Skateboards, Ready to Ride🛹",3759,Brand New,0,True,21
"31""x8"" Trick Complete Skateboard Double Kick Concave for Beginners Kids Teens",2599,Brand New,699,False,
New Listing,3500,Pre-Owned,1275,False,
"Kids Trick Complete Skateboard 31""x 8"" Double Kick Concave Gift Fun Blue Pink",3999,Brand New,0,False,3
"31'x 8"" Complete Skateboard 4 Wheel Double Kick Deck Concave 9 Layer Maple Wood ",3999,Brand New,0,False,
New Listing,2599,Brand New,0,False,
"Powell Peralta Skateboard Complete Giorgio Zattoni 8.0"" x 31.45""",6995,Brand New,0,True,77
New Listing,6795,Pre-Owned,2650,False,
