name,price,status,shipping,free_returns,items_sold
NEW UNLOCKED Samsung Galaxy Note 8 SM-N950U 64GB BLACK N950U T-MOBILE AT&T,27499,Brand New,0,True,162
🚀🚀New Samsung Galaxy Note 10+ PLUS SM-N975U1 256 GB FACTORY UNLOCKED PHONE🚀🚀,54599,Brand New,0,True,176
Samsung Galaxy Note 8 N950U 64GB Factory Unlocked (CDMA + GSM) - Orchid Gray,17499,Pre-Owned,0,True,28
Samsung Galaxy NOTE 9 128GB SM-N960U1 (Factory Unlocked) * NEW IN Box,28799,Brand New,0,False,21
NEW Samsung Galaxy Note 9 N960U 128GB Factory Unlocked GSM AT&T T-Mobile Verizon,29488,Brand New,0,True,100
Samsung N960 Galaxy Note 9 128GB Unlocked 4G LTE Android Smartphone,19995,Good - Refurbished,0,True,
New in Box Samsung Galaxy Note 9 SM-N960U Black GSM Unlocked For ATT and TMobile,30699,Brand New,0,True,122
AT&T Samsung Galaxy Note10+ 256GB Aura Black SM-N975U Smartphone,38000,Pre-Owned,0,True,
Samsung N975 Galaxy Note 10+ Plus 256GB Unlocked Smartphone - Very Good,37995,Very Good - Refurbished,0,True,
Samsung Galaxy Note9 N960U 128GB Factory Unlocked Smartphone - Good,19999,Good - Refurbished,0,True,
Samsung Galaxy Note 9 N960U Factory GSM Unlocked AT&T T-Mobile ALL GB Good,17995,Good - Refurbished,0,True,
Samsung Galaxy Note 10 N970U 256GB Factory Unlocked Smartphone - Good,29999,Good - Refurbished,0,True,
"Samsung Galaxy Note 9 SMN960U1 512GB 6.1"" Factory Unlocked Smartphone Open Box",31899,Open Box,0,True,106
NEW Samsung Galaxy Note 8 SM-N950U 64GB Factory Unlocked AT&T T-Mobile Cricket,26488,Brand New,0,True,463
"NEW Samsung Galaxy NOTE 10+ Plus 256/512GB (SM-N975U1, Factory Unlocked)⚫⚪🔵🟣SW",52999,Brand New,0,True,241
New Samsung Galaxy Note 20 5G N981U 128GB Factory Unlocked AT&T T-Mobile Verizon,67999,Brand New,0,True,20
🌟🌟New Samsung Galaxy Note 20 Ultra 5G SM-N986U1 128GB Factory Unlocked 🌟🌟,93599,Brand New,0,False,30
Samsung Galaxy Note9 N960U 128GB T-mobile Metropcs A  Excellent ,22999,Excellent - Refurbished,0,True,
Samsung Galaxy Note 9 Unlocked AT&T Verizon T-Mobile Sprint Shadow SM-N960U,16989,Pre-Owned,0,True,60
Samsung Galaxy Note 10+ Plus N975U 256GB Unlocked AT&T Sprint T-Mobile Verizon C,31995,Pre-Owned,0,False,80
SAMSUNG GALAXY NOTE 9 N960U1 MIDNIGHT BLACK 128GB (FACTORY UNLOCKED) ❖SEALED❖w,29485,Brand New,0,True,64
Fully Unlocked Samsung Galaxy Note 10 256GB SM-N970U [New Unused],44988,Brand New,0,True,170
Samsung Galaxy Note 9 N960U GSM Fully Unlocked 128GB HEAVY Screen Shadow,15494,Pre-Owned,0,True,9
New Listing,20995,Open Box,0,False,
Samsung Galaxy Note9 SM-N960 - 128GB- Midnight Black (Unlocked) MINT A+,25855,Open Box,0,True,
New Samsung Galaxy NOTE 8 N950U 64GB Factory Unlocked Verizon T-Mobile AT&T,26699,Brand New,0,False,30
NEW Samsung Galaxy Note9 SM-N960U-128GB Lavender Purple AT&T T-Mobile Verizon,30400,Brand New,0,True,197
" Samsung Galaxy Note 20 Ultra 256GB 12GB RAM SM-N9860 (FACTORY UNLOCKED) 6.9""",104999,Brand New,0,True,730
New Samsung Galaxy NOTE 10 N970U 256GB Factory Unlocked AT&T T-Mobile Verizon,42899,Brand New,0,True,27
Unlocked Samsung Galaxy Note 8 SM-N950U - 64GB - Gray (AT&T) GSM Phone,23335,Open Box,0,True,
New Listing,57900,Open Box,0,True,
New Listing,8499,Open Box,0,True,5
"Mint Other Samsung Galaxy Note 9 N960U GSM Unlocked 128GB SR* Blue,Black,Purple",18995,Pre-Owned,0,True,
Samsung Galaxy Note8 64GB Unlocked Verizon AT&T Sprint T-Mobile Used Note 8,16989,Pre-Owned,0,False,29
Samsung Galaxy Note20 SM-N980F - 256GB - Mystic Green (Unlocked) (Dual SIM),49500,Pre-Owned,0,False,
SAMSUNG GALAXY NOTE 9 N960U1 OCEAN BLUE 128GB (FACTORY UNLOCKED) ❖SEALED❖w,29485,Brand New,0,True,80
"NEW Samsung Galaxy NOTE 20 Ultra 5G Unlocked (SM-N986U1, US Model) 28/512GB ⚫⚪🟠",93999,Brand New,0,True,252
NEW Samsung Galaxy Note 9 SM-N960U 128GB Unlocked T-Mobile AT&T Verizon Mobile,28829,Brand New,0,True,243
New Listing,75000,Pre-Owned,0,False,
Samsung Galaxy Note 9 SM-N960U 128GB (Latest Model) GSM World Phone (Unlocked),26189,Open Box,0,True,305
AT&T Samsung Galaxy Note10+ 256GB Aura Black SM-N975U Smartphone,38000,Pre-Owned,0,True,
Samsung Galaxy Note9 SM-N960U - 128GB - Lavender Purple (Unlocked) (Single SIM),14850,Pre-Owned,1465,False,
Samsung Galaxy Note10+ SM-N975F/DS - 256GB - Aura Glow (Unlocked) ,17800,Pre-Owned,2000,False,
Samsung Galaxy Note 10+ Plus N975U1 N975U Verizon ATT Factory Unlocked LCD SPOT,28900,Pre-Owned,0,True,14
Samsung Galaxy Note 8 SM-N950U - 64GB - Black (Unlocked) Screen Burn See Photos,10995,Pre-Owned,0,True,
"NEW Samsung Galaxy NOTE 10 256GB Black Glow White (SM-N970U1, Factory Unlocked)",41999,Brand New,0,True,384
Samsung Galaxy Note 10 SM N970U 256GB   Aura Black Unlocked -VERY GOOD,29995,Pre-Owned,0,True,27
Samsung Galaxy Note20 Ultra - 128GB - All Colors- Unlocked - Excellent Condition,79999,Excellent - Refurbished,0,True,
Samsung Galaxy Note9 SM-N960 - 128GB - Blue - Unlocked Has LCD Burn. Preowned,18999,Pre-Owned,0,True,8
New Listing,45500,Pre-Owned,0,False,
Unlocked Samsung Galaxy Note 10 SM-N970U 256GB 512GB GSM & Verizon Smartphone,32499,Open Box,0,True,113
New UNOPENED Samsung Galaxy Note 5 SM-N920A (AT&T) Smartphone/Silver Titan/32GB,15499,Brand New,0,True,3
Samsung Galaxy Note8 SM-N950U - 64GB - Midnight Black (Unlocked AT&T),4900,Pre-Owned,930,True,
New Listing,4100,Pre-Owned,795,True,
SAMSUNG GALAXY NOTE 9 N960U1 128GB (FACTORY UNLOCKED) BLACK PURPLE BLUE ❖SEALED❖,29495,Brand New,0,True,
"Samsung Galaxy Note 10, SM-N970U, 256GB, Unlocked, Black, Great Condition :DD429",18600,Pre-Owned,749,True,
Samsung Galaxy Note10+ SM-N975U - 256GB - Aura Black (Verizon) (Single SIM),20800,Pre-Owned,1595,False,
FULLY UNLOCKED ⭐ Samsung Galaxy NOTE 10 256GB (SM-N970U1) EXCELLENT ⭐ ,42900,Open Box,0,True,35
Samsung Galaxy Note9 SM-N960 - 128GB - Midnight Black (Unlocked) (Single SIM),40000,Certified - Refurbished,0,True,
Samsung Galaxy Note 9 CDMA Android Smartphone Black / 512GB / Verizon,19650,Pre-Owned,1135,True,
New Listing,32995,Pre-Owned,0,True,
Samsung Galaxy Note 8 64GB Factory Unlocked AT&T T-Mobile Verizon Very Good,19995,Very Good - Refurbished,0,True,
Samsung Galaxy Note10 SM-N970U - 256GB - Aura White (Verizon) (Single SIM),17800,Pre-Owned,1465,False,
Samsung Galaxy Note 9 - Unlocked - 128GB - Black - Unlocked - Smartphone - Good,20999,Good - Refurbished,0,True,
🌟🌟Factory Unlocked NEW Samsung Galaxy Note 20 5G SM-N981U1 All ⚪🟢🟠Colors🌟🌟,89999,Brand New,0,False,25
New Listing,8300,Pre-Owned,1199,True,
Samsung Galaxy Note 9 | Unlocked SM-N960 | 128GB - Black Good,22500,Pre-Owned,0,True,103
Samsung Galaxy Note9 SM-N960 - 512GB - Midnight Black (Unlocked) Excellent,29999,Excellent - Refurbished,0,True,
Samsung Galaxy NOTE 9 N960U 128GB Factory Unlocked T-Mobile Verizon Straight Tal,28799,Brand New,0,True,
Samsung Galaxy Note 9 AT&T Verizon T-Mobile GSM Unlocked New Other SM-N960U,23989,Open Box,0,True,
Samsung N975 Galaxy Note 10+ Plus 256GB Unlocked Smartphone,35995,Good - Refurbished,0,True,
Samsung Galaxy Note 10+ Plus N975U N975U1 AT&T Sprint Verizon Factory Unlocked,40900,Open Box,0,True,
Samsung Galaxy Note 10 N970U 256GB Factory Unlocked Smartphone - Very Good,31999,Very Good - Refurbished,0,True,
Fully Unlocked Samsung Galaxy Note 9 128GB SM-N960U [New Unused],31788,Brand New,0,True,482
Samsung Galaxy Note8 SM-N950U - 64GB - Midnight Black (Unlocked AT&T),5900,Pre-Owned,930,True,
Samsung Galaxy Note9 SM-N960 - 512GB - Lavender Purple (AT&T),13250,Pre-Owned,784,False,
Samsung Galaxy Note10 SM-N970U - 256GB - Aura Glow (T-Mobile) (Single SIM),10000,Pre-Owned,0,False,
Samsung Galaxy NOTE 4 - 32GB - Black - GSM unlocked,6400,Pre-Owned,855,False,89
New Listing,3500,Pre-Owned,930,True,
New Listing,24500,Pre-Owned,0,False,
Samsung Galaxy Note20 Ultra 5G GREAT CONDITION - 128GB - Mystic Black (Unlocked),66500,Pre-Owned,0,False,
"Samsung Galaxy Note 10 Lite Duos SM-N770, 128GB, Unlocked, Good Condition: CC235",24250,Pre-Owned,749,True,
Samsung N950 Galaxy Note 8 64GB Verizon Smartphone SHADOW SCREEN,14494,Pre-Owned,0,True,
Mint Samsung Galaxy Note 9 N960U GSM Fully Unlocked 128GB Heavy Screen Shadow,15494,Pre-Owned,0,True,19
Samsung Galaxy Note8 Note 8 64GB Unlocked SM-N950 Open Box New Other,21989,Open Box,0,False,
Samsung Galaxy Note 10+ Plus 256GB 512GB - Unlocked Verizon T-Mobile AT&T Sprint,37495,Open Box,0,True,14
Samsung Galaxy Note10+ Plus SM-N975U - 256GB - Aura Black (Unlocked),65000,Certified - Refurbished,0,True,
Samsung Galaxy Note 4 (SM-N910) 32GB UNLOCKED GSM Android BLK/WHT *Good*,7352,Pre-Owned,0,True,
Samsung Galaxy Note 9 AT&T Verizon T-Mobile GSM Unlocked SM-N960U Excellent,24989,Excellent - Refurbished,0,True,
Samsung Galaxy Note9 SM-N960 - 128GB - Ocean Blue (Verizon),10000,Pre-Owned,1500,False,
Samsung Galaxy Note 9 SM-N960U - 128GB - Midnight Black Fully Unlocked Good LCD,18999,Pre-Owned,0,True,
Samsung N950 Galaxy Note 8 64GB Unlocked 4G LTE Android Smartphone,16995,Good - Refurbished,0,True,
NEW Samsung Galaxy NOTE 9 128GB 512GB 🟣⚫⚪🔵(SM-N960U1 Factory Unlocked),35999,Brand New,0,True,1258
US Ship Samsung Galaxy Note 9 N960U 128GB Verzion AT&T Unlocked Smarphone Silver,28599,Brand New,0,False,
"Samsung Galaxy Note 10, SM-N970U, 256GB, AT&T Locked, Great Condition : DD252",15850,Pre-Owned,749,True,
New Listing,37995,Pre-Owned,0,True,
Samsung Galaxy Note 20 Ultra 5G 128GB Unlocked AT&T T-Mobile Verizon Very Good,76995,Very Good - Refurbished,0,True,
"Samsung Galaxy Note 10 Lite SM-N770F, 128GB, Unlocked, Good Condition: CC237",17300,Pre-Owned,749,True,
New-Samsung Galaxy Note9 SM-N960U -128GB -UNLOCKED Smartphone,29999,Brand New,0,True,32
Samsung Galaxy Note 8 Unlocked AT&T Verizon T-Mobile Sprint 64GB SM-N950 Shadow,14988,Pre-Owned,0,True,8
SAMSUNG GALAXY NOTE 9 N960U (UNLOCKED) 128GB VERIZON AT&T T-MOBILE - BLACK,27988,Open Box,0,True,
Samsung Galaxy Note 9 SM-N960U - 128GB - Ocean Blue (Unlocked) (Single SIM),18999,Pre-Owned,0,True,13
New Listing,27500,Pre-Owned,1065,False,
Samsung Galaxy Note 9 - 64GB - Factory Unlocked - Very Good Condition,21999,Very Good - Refurbished,0,True,
New Listing,19999,Pre-Owned,0,False,
Samsung Galaxy Note10+ SM-N975U - 256GB - Aura Glow (Unlocked) (Single SIM) -...,23600,Pre-Owned,1500,False,
Samsung Galaxy Note 8 64GB Factory Unlocked AT&T T-Mobile Verizon Good,18495,Good - Refurbished,0,True,
New Listing,52800,Pre-Owned,1500,False,
Samsung Galaxy NOTE 9 SM-N960U 128GB FACTORY Unlocked DEVICE 4G LTE ~VERY GOOD~,20999,Pre-Owned,0,True,463
NEW Samsung GALAXY NOTE 8  Black Gray Blue ⚫🟣🔵(SM-N950U1 Factory Unlocked),30499,Brand New,0,True,2104
New Listing,3500,Pre-Owned,600,False,
New Open Box GSM Unlocked Samsung Galaxy Note 8 N950 Gray T-Mobile AT&T Cricket,23999,Open Box,0,True,260
Verizon Samsung Galaxy Note 4 - 32GB - Factory Unlocked (SM-N910V),3100,Pre-Owned,875,True,
Samsung Galaxy Note 10+ Plus N975U 256GB 512GB Fully Unlocked (Any Carrier) Good,34895,Good - Refurbished,0,True,
Samsung Galaxy Note 9 N960U 128GB Unlocked T-Mobile Verizon AT&T Sprint Open Box,23654,Open Box,0,False,56
